测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_socket_iscsiuio,fail,./mugen-riscv/logs/open-iscsi/oe_test_socket_iscsiuio/2023-08-31-04:22:04.log,
,oe_test_socket_iscsid,fail,./mugen-riscv/logs/open-iscsi/oe_test_socket_iscsid/2023-08-31-04:20:54.log,
,oe_test_service_iscsiuio,fail,./mugen-riscv/logs/open-iscsi/oe_test_service_iscsiuio/2023-08-31-04:19:40.log,
,oe_test_open-iscsi_iscsistart_iscsiuio,fail,./mugen-riscv/logs/open-iscsi/oe_test_open-iscsi_iscsistart_iscsiuio/2023-08-31-04:16:07.log,
,oe_test_open-iscsi_iscsiadm,fail,./mugen-riscv/logs/open-iscsi/oe_test_open-iscsi_iscsiadm/2023-08-31-04:14:47.log,
clevis,oe_test_install_clevis,fail,./mugen-riscv/logs/clevis/oe_test_install_clevis/2023-09-02-13_11_06.log,file missing/timeout
NetworkManager,oe_test_service_NetworkManager,fail,./mugen-riscv/logs/NetworkManager/oe_test_service_NetworkManager/2023-09-02-12_23_03.log,
,oe_test_service_NetworkManager-dispatcher,fail,./mugen-riscv/logs/NetworkManager/oe_test_service_NetworkManager-dispatcher/2023-09-02-12_22_15.log,
,oe_test_service_NetworkManager-wait-online,fail,./mugen-riscv/logs/NetworkManager/oe_test_service_NetworkManager-wait-online/2023-09-02-12_24_01.log,
smartmontools,oe_test_service_smartd,fail,./mugen-riscv/logs/smartmontools/oe_test_service_smartd/2023-08-31-14:24:54.log,
